City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
252,Salalah,OM,2021-09-09 18:28:59,17.0151,54.0924,78.89,100,90,3.44
253,Ekibastuz,KZ,2021-09-09 18:28:59,51.6667,75.3667,54.57,41,89,8.81
254,Dabakala,CI,2021-09-09 18:28:59,8.3667,-4.4333,77.18,89,99,2.46
255,Mogadishu,SO,2021-09-09 18:29:00,2.0371,45.3438,77.65,84,98,15.82
256,Margate,GB,2021-09-09 18:29:00,51.3813,1.3862,69.69,78,44,11.79
257,Tessalit,ML,2021-09-09 18:29:00,20.1986,1.0114,101.28,14,45,10.89
258,Awbari,LY,2021-09-09 18:29:00,26.5921,12.7805,89.62,23,0,11.63
259,Ostersund,SE,2021-09-09 18:29:01,63.1792,14.6357,50.45,100,90,2.3
260,Elbeuf,FR,2021-09-09 18:29:01,49.2867,1.0029,71.33,73,0,8.05
261,Porto Novo,BJ,2021-09-09 18:29:01,6.4965,2.6036,80.42,83,28,7.61
262,Storslett,NO,2021-09-09 18:29:01,69.7678,21.0247,42.8,100,75,2.3
263,Bouillante,GP,2021-09-09 18:29:02,16.1304,-61.7692,88.83,62,100,10.2
264,Grindavik,IS,2021-09-09 18:29:02,63.8424,-22.4338,52.27,76,75,11.5
265,Trujillo,PE,2021-09-09 18:24:24,-8.116,-79.03,64.36,82,40,13.8
266,Tonantins,BR,2021-09-09 18:29:03,-2.8731,-67.8022,92.35,49,69,0.87
267,Faya,SA,2021-09-09 18:29:03,18.3851,42.4509,73.92,27,98,6.87
268,Saint-Joseph,RE,2021-09-09 18:29:03,-21.3667,55.6167,70.16,81,32,6.82
269,Najran,SA,2021-09-09 18:29:03,17.4924,44.1277,88.45,14,55,6.53
270,Toamasina,MG,2021-09-09 18:29:04,-18.1667,49.3833,66.2,94,40,1.14
271,Kochki,RU,2021-09-09 18:29:04,54.3358,80.4806,46.24,88,96,7.96
272,Bereda,ES,2021-09-09 18:29:04,43.2686,-7.5406,67.41,94,37,6.04
273,Muisne,EC,2021-09-09 18:29:05,0.6,-80.0333,84.31,85,100,10.51
274,Mopti,ML,2021-09-09 18:29:05,14.6667,-4.0,89.64,55,20,9.22
275,Poltavka,RU,2021-09-09 18:29:05,54.3663,71.7632,51.84,59,98,9.89
276,Conde,BR,2021-09-09 18:26:28,-7.2597,-34.9075,83.66,61,40,16.11
277,Isoka,ZM,2021-09-09 18:25:22,-10.1606,32.6335,71.53,37,50,7.96
278,Znamenskoye,RU,2021-09-09 18:29:06,57.1281,73.8282,43.3,90,78,5.23
279,Lipnita,RO,2021-09-09 18:29:06,44.1,27.6,61.83,60,3,7.87
280,Taoudenni,ML,2021-09-09 18:29:06,22.6783,-3.9836,108.23,9,0,10.67
281,Pavlogradka,RU,2021-09-09 18:29:06,54.2024,73.5592,52.83,60,97,9.1
282,George Town,MY,2021-09-09 18:24:56,5.4112,100.3354,78.89,91,20,3.44
283,Limoges,FR,2021-09-09 18:29:07,45.75,1.3333,69.24,100,75,8.05
284,Bambous Virieux,MU,2021-09-09 18:29:07,-20.3428,57.7575,71.22,88,40,3.44
285,Amapa,BR,2021-09-09 18:24:27,1.0,-52.0,95.34,31,74,6.58
286,Noyabrsk,RU,2021-09-09 18:29:07,63.1994,75.4507,44.29,61,97,7.54
287,Cururupu,BR,2021-09-09 18:28:21,-1.8283,-44.8683,84.69,62,97,6.2
288,Saint-Augustin,CA,2021-09-09 18:29:08,51.226,-58.6502,64.89,79,100,17.98
289,Royan,FR,2021-09-09 18:29:08,45.6285,-1.0281,69.78,83,100,9.95
290,Marawi,PH,2021-09-09 18:29:08,7.9986,124.2928,67.64,93,100,5.03
291,Vardo,NO,2021-09-09 18:29:09,70.3705,31.1107,44.56,78,100,19.64
292,Rudnichnyy,RU,2021-09-09 18:29:09,59.617,52.4703,45.07,93,54,9.98
