City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
221,Bejar,ES,40.3864,-5.7634,68.14,66,79,4.76,broken clouds
222,Sfantu Gheorghe,RO,45.8667,25.7833,57.27,52,87,3.78,overcast clouds
223,Umm Lajj,SA,25.0213,37.2685,88.81,57,11,6.26,few clouds
224,Nouadhibou,MR,20.931,-17.0347,73.58,79,77,21.09,broken clouds
225,Denizli,TR,37.8402,29.0698,72.45,61,67,3.06,broken clouds
226,Havre-Saint-Pierre,CA,50.2334,-63.5986,61.16,100,90,5.75,mist
227,Januaria,BR,-15.4833,-44.3667,96.91,15,1,8.46,clear sky
228,Pascagoula,US,30.3658,-88.5561,87.85,61,100,8.79,overcast clouds
229,Hobyo,SO,5.3505,48.5268,77.74,81,100,27.94,overcast clouds
230,Chimoio,MZ,-19.1164,33.4833,65.37,76,15,7.65,few clouds
231,Sakakah,SA,29.9697,40.2064,87.28,14,0,9.35,clear sky
232,Axim,GH,4.8699,-2.2405,77.32,87,5,8.01,light rain
233,Tucurui,BR,-3.7661,-49.6725,95.9,33,100,3.44,overcast clouds
234,Cabedelo,BR,-6.9811,-34.8339,79.54,71,57,13.35,broken clouds
235,Gat,IL,31.61,34.7642,85.41,100,0,11.56,clear sky
236,Berlevag,NO,70.8578,29.0864,44.6,81,75,20.71,broken clouds
237,Shakiso,ET,5.75,38.9167,55.38,91,61,3.04,broken clouds
238,Dingle,PH,10.9995,122.6711,75.76,93,100,9.75,light rain
239,Tabuk,PH,17.4189,121.4443,73.83,95,100,2.8,overcast clouds
240,Jatai,BR,-17.8814,-51.7144,96.58,18,23,6.58,few clouds
241,Cacapava Do Sul,BR,-30.5122,-53.4914,50.67,82,100,15.23,overcast clouds
242,Bathsheba,BB,13.2167,-59.5167,88.41,66,20,18.41,few clouds
243,Esmeraldas,BR,-19.7625,-44.3139,92.26,18,6,5.55,clear sky
244,Ipora,BR,-16.4419,-51.1178,98.85,15,23,8.08,few clouds
245,Skjervoy,NO,70.0311,20.9714,42.8,83,100,14.03,light rain
246,Salta,AR,-24.7859,-65.4117,68.58,33,0,7.0,clear sky
247,Oksfjord,NO,70.2396,22.3479,44.67,96,100,5.14,light rain
248,Lavumisa,SZ,-27.31,31.892,61.05,85,0,0.74,clear sky
249,Dmitriyevskoye,RU,45.8053,41.8967,58.91,67,0,7.29,clear sky
250,Marzuq,YE,14.4,46.4667,84.6,30,100,10.89,overcast clouds
251,Cayenne,GF,4.9333,-52.3333,86.04,82,75,1.99,broken clouds
252,Isla Mujeres,MX,21.2311,-86.731,82.45,70,36,10.74,scattered clouds
253,Norrtalje,SE,59.758,18.705,62.02,87,27,5.21,scattered clouds
254,Almeirim,BR,-1.5233,-52.5817,94.59,38,100,5.86,overcast clouds
255,Souillac,MU,-20.5167,57.5167,69.37,80,12,8.7,few clouds
256,Plast,RU,54.3691,60.8136,49.84,85,100,15.61,overcast clouds
257,Urengoy,RU,65.9667,78.3667,40.87,66,18,6.08,few clouds
258,Batsfjord,NO,70.6345,29.7185,44.53,83,71,18.19,broken clouds
259,Champua,IN,22.0833,85.6667,76.68,86,98,2.15,overcast clouds
260,Dalbandin,PK,28.8947,64.4101,84.94,15,56,1.48,broken clouds
261,Kesova Gora,RU,57.5836,37.2922,59.23,81,100,10.65,overcast clouds
262,Pospelikha,RU,51.95,81.7667,48.07,49,53,7.96,broken clouds
263,Kedrovyy,RU,56.1667,91.8167,43.21,70,8,8.86,clear sky
264,Kirgiz-Miyaki,RU,53.6324,54.7979,52.54,90,100,15.68,overcast clouds
265,Atbasar,KZ,51.8,68.3333,51.96,70,99,11.95,overcast clouds
266,Birao,CF,10.2849,22.7882,75.13,89,63,1.41,light rain
267,Bilma,NE,18.6853,12.9164,98.76,14,54,7.58,broken clouds
268,Valparaiso,CL,-33.0393,-71.6273,59.09,64,0,9.66,clear sky
269,Gourcy,BF,13.2167,-2.35,82.81,62,47,13.31,scattered clouds
270,Xuddur,SO,4.1213,43.8894,77.2,62,100,21.18,overcast clouds
271,Panama City,PA,8.9936,-79.5197,90.18,72,20,5.75,few clouds
272,Coquimbo,CL,-29.9533,-71.3436,60.53,67,0,12.66,clear sky
273,Vestmannaeyjar,IS,63.4427,-20.2734,51.71,77,41,5.68,scattered clouds
274,Quatre Cocos,MU,-20.2078,57.7625,69.1,78,12,10.04,few clouds
275,Velika Gorica,HR,45.7125,16.0756,68.18,60,0,0.0,clear sky
276,Una,IN,20.8167,71.0333,78.96,92,100,13.67,overcast clouds
277,Igarka,RU,67.4667,86.5833,48.33,97,100,5.1,light rain
278,Korla,CN,41.7597,86.1469,78.58,20,0,1.61,clear sky
279,Rosetta,EG,31.4044,30.4164,76.84,73,0,11.77,clear sky
280,Rampur,IN,28.8167,79.0333,79.21,80,100,7.45,overcast clouds
281,Den Helder,NL,52.9599,4.7593,66.97,88,75,6.91,broken clouds
282,Bowmore,US,34.9421,-79.3031,75.88,88,90,4.61,mist
283,Gadsden,US,34.0143,-86.0066,85.01,44,0,11.5,clear sky
284,Nanortalik,GL,60.1432,-45.2371,44.91,91,100,10.54,overcast clouds
285,Jaguaruna,BR,-28.615,-49.0256,68.23,79,34,8.14,scattered clouds
286,Diapaga,BF,12.0708,1.7889,78.69,79,36,6.38,scattered clouds
287,Praia,CV,14.9215,-23.5087,82.94,78,20,5.75,few clouds
288,Grand Gaube,MU,-20.0064,57.6608,69.39,77,41,1.99,scattered clouds
289,Scarborough,GB,54.2797,-0.4044,66.65,87,100,6.24,overcast clouds
290,Rehnan,IR,32.6846,51.6013,72.91,19,0,11.07,clear sky
291,Maroantsetra,MG,-15.4333,49.7333,69.46,85,21,2.75,few clouds
292,Padang,ID,-0.9492,100.3543,75.25,87,24,3.44,few clouds
293,Yar-Sale,RU,66.8333,70.8333,40.26,69,73,9.53,broken clouds
294,Dakar,SN,14.6937,-17.4441,86.88,84,10,14.5,clear sky
295,Jacareacanga,BR,-6.2222,-57.7528,73.92,95,100,3.31,overcast clouds
296,Santo Antonio Do Ica,BR,-3.1022,-67.9397,86.9,63,100,1.28,overcast clouds
297,Eregli,TR,37.5133,34.0467,68.83,33,0,2.66,clear sky
298,Uyuni,BO,-20.4597,-66.825,56.82,5,7,16.6,clear sky
299,Shetpe,KZ,44.1667,52.1167,59.25,29,0,5.97,clear sky
300,Letterkenny,IE,54.95,-7.7333,66.09,94,99,2.62,overcast clouds
301,Abu Kamal,SY,34.4506,40.9171,87.84,26,0,11.39,clear sky
302,Coihaique,CL,-45.5752,-72.0662,57.81,62,90,8.05,overcast clouds
303,Lagoa,PT,39.05,-27.9833,72.23,86,100,14.43,overcast clouds
304,Andenes,NO,69.3143,16.1194,46.38,81,75,16.11,light rain
305,Krasnogorskoye,RU,52.2953,86.1979,43.09,74,98,5.44,overcast clouds
306,Busko-Zdroj,PL,50.4708,20.7188,62.65,63,9,3.83,clear sky
307,Bandar-E Lengeh,IR,26.5579,54.8807,92.23,61,100,8.88,overcast clouds
308,Forte Dei Marmi,IT,43.9648,10.1724,74.57,61,0,0.74,clear sky
309,Bushehr,IR,28.9684,50.8385,93.38,57,1,13.13,clear sky
310,Porto Novo,BJ,6.4965,2.6036,77.9,86,30,6.53,scattered clouds
311,Muravlenko,RU,63.7898,74.523,41.27,66,51,4.38,broken clouds
312,Mazyr,BY,52.0495,29.2456,59.31,78,10,2.95,clear sky
313,Krasnovishersk,RU,60.4078,57.082,45.0,95,97,10.65,overcast clouds
314,Yevpatoriya,UA,45.1972,33.3558,61.84,57,64,15.68,broken clouds
315,Takoradi,GH,4.8845,-1.7554,77.2,88,5,7.99,clear sky
316,Zyryanovsk,KZ,49.7386,84.2719,41.0,66,45,0.87,scattered clouds
317,Aksay,RU,47.26,39.87,64.62,33,6,4.7,clear sky
318,Neuquen,AR,-38.9516,-68.0591,67.89,34,0,10.36,clear sky
319,General Roca,AR,-39.0333,-67.5833,68.4,26,61,9.19,broken clouds
320,Santa Maria,BR,-29.6842,-53.8069,57.09,79,100,14.38,overcast clouds
321,Casablanca,MA,33.5928,-7.6192,77.22,77,5,9.26,clear sky
322,Tiznit,MA,29.5833,-9.5,81.45,31,1,5.1,clear sky
323,Tabory,RU,58.5198,64.5495,49.06,95,100,9.17,light rain
324,Porbandar,IN,21.6422,69.6093,80.35,88,100,9.93,overcast clouds
325,Kozhva,RU,65.1073,57.0459,42.96,99,100,3.78,overcast clouds
326,Cururupu,BR,-1.8283,-44.8683,84.96,61,95,6.22,overcast clouds
327,Puerto Carreno,CO,6.189,-67.4859,90.97,53,52,1.36,broken clouds
328,Kudahuvadhoo,MV,2.6708,72.8944,82.24,72,75,4.05,broken clouds
329,Malanje,AO,-9.5402,16.341,80.44,38,96,3.11,overcast clouds
330,Andros Town,BS,24.7,-77.7667,91.36,61,52,2.01,moderate rain
331,Giyon,ET,8.5333,37.9833,55.11,94,100,1.57,overcast clouds
332,Ithaca,US,42.4406,-76.4966,74.91,71,1,1.99,clear sky
333,Surt,LY,31.2089,16.5887,79.59,56,0,12.55,clear sky
334,Pozo Colorado,PY,-23.4923,-58.7972,78.22,19,36,4.61,scattered clouds
335,Nizwa,OM,22.9333,57.5333,86.63,53,71,3.71,broken clouds
336,Umba,RU,66.6871,34.3429,40.87,85,22,8.23,few clouds
337,Liverpool,GB,53.4106,-2.9779,67.08,87,40,3.44,light rain
338,Parfenyevo,RU,58.484,43.4088,50.32,83,100,4.76,light rain
339,Kutahya,TR,39.4242,29.9833,62.55,70,97,0.92,light rain
340,Olafsvik,IS,64.8945,-23.7142,51.39,85,100,14.32,overcast clouds
341,Rumonge,BI,-3.9736,29.4386,76.86,56,19,3.98,few clouds
342,Kovdor,RU,67.5662,30.4758,35.08,93,15,3.8,few clouds
343,Visby,SE,57.6409,18.296,64.85,77,11,10.36,few clouds
